Vente_ID,Date_ID,Date,Client_ID,Produit_ID,Commercial_ID,Ville_ID,Quantite,Prix_Unitaire,Montant_Vente,Cout_Total,Benefice,Montant_Paye,Creance,Mode_Paiement
V01488,20250101,2025-01-01,CL016,PR004,COM005,VIL006,2,7560.0,11204.0,8210.0,2994.0,11204.0,0.0,Mobile Money
V01409,20250101,2025-01-01,CL003,PR004,COM007,VIL001,15,7310.0,140626.0,106383.0,34243.0,133595.0,7031.0,Espèces
V01482,20250101,2025-01-01,CL002,PR005,COM007,VIL001,8,1730.0,17750.0,13133.0,4617.0,17750.0,0.0,Espèces
V00845,20250102,2025-01-02,CL012,PR014,COM003,VIL004,25,1540.0,32918.0,21161.0,11757.0,32918.0,0.0,Espèces
V00901,20250102,2025-01-02,CL001,PR008,COM007,VIL001,2,860.0,2206.0,1590.0,616.0,2206.0,0.0,Mobile Money
V01237,20250102,2025-01-02,CL012,PR015,COM003,VIL004,4,970.0,3317.0,2257.0,1060.0,2654.0,663.0,Crédit
V00381,20250102,2025-01-02,CL008,PR013,COM004,VIL003,3,2510.0,6796.0,4549.0,2247.0,6796.0,0.0,Espèces
V00846,20250102,2025-01-02,CL006,PR008,COM004,VIL002,5,890.0,4650.0,3240.0,1410.0,4650.0,0.0,Espèces
V01294,20250102,2025-01-02,CL011,PR002,COM008,VIL004,6,15490.0,79464.0,62945.0,16519.0,79464.0,0.0,Espèces
V00773,20250102,2025-01-02,CL006,PR008,COM002,VIL002,8,880.0,7357.0,5183.0,2174.0,5886.0,1471.0,Crédit
V01279,20250103,2025-01-03,CL008,PR012,COM006,VIL003,3,2860.0,7743.0,5280.0,2463.0,6194.0,1549.0,Crédit
V00707,20250103,2025-01-03,CL003,PR003,COM006,VIL001,4,17840.0,91519.0,68434.0,23085.0,91519.0,0.0,Espèces
V00465,20250103,2025-01-03,CL017,PR006,COM008,VIL007,10,750.0,5344.0,3491.0,1853.0,5344.0,0.0,Mobile Money
V00575,20250103,2025-01-03,CL014,PR015,COM002,VIL005,4,1030.0,3131.0,1885.0,1246.0,3131.0,0.0,Virement
V00104,20250103,2025-01-03,CL007,PR007,COM007,VIL002,10,1820.0,19019.0,12122.0,6897.0,19019.0,0.0,Espèces
V01190,20250103,2025-01-03,CL020,PR014,COM002,VIL008,5,1470.0,3840.0,2560.0,1280.0,2496.0,1344.0,Crédit
V01070,20250104,2025-01-04,CL019,PR002,COM002,VIL008,2,15640.0,16344.0,12153.0,4191.0,16344.0,0.0,Mobile Money
V00303,20250104,2025-01-04,CL010,PR010,COM002,VIL004,3,3120.0,8003.0,6182.0,1821.0,8003.0,0.0,Virement
V01175,20250104,2025-01-04,CL019,PR007,COM004,VIL008,12,1840.0,11537.0,7461.0,4076.0,11537.0,0.0,Espèces
V00801,20250105,2025-01-05,CL006,PR014,COM001,VIL002,1,1500.0,1568.0,982.0,586.0,1568.0,0.0,Espèces
