Date_ID,Date,Annee,Mois_Numero,Mois,Trimestre,Jour,Jour_Semaine
20250101,2025-01-01,2025,1,January,T1,1,Wednesday
20250102,2025-01-02,2025,1,January,T1,2,Thursday
20250103,2025-01-03,2025,1,January,T1,3,Friday
20250104,2025-01-04,2025,1,January,T1,4,Saturday
20250105,2025-01-05,2025,1,January,T1,5,Sunday
20250106,2025-01-06,2025,1,January,T1,6,Monday
20250107,2025-01-07,2025,1,January,T1,7,Tuesday
20250108,2025-01-08,2025,1,January,T1,8,Wednesday
20250109,2025-01-09,2025,1,January,T1,9,Thursday
20250110,2025-01-10,2025,1,January,T1,10,Friday
20250111,2025-01-11,2025,1,January,T1,11,Saturday
20250112,2025-01-12,2025,1,January,T1,12,Sunday
20250113,2025-01-13,2025,1,January,T1,13,Monday
20250114,2025-01-14,2025,1,January,T1,14,Tuesday
20250115,2025-01-15,2025,1,January,T1,15,Wednesday
20250116,2025-01-16,2025,1,January,T1,16,Thursday
20250117,2025-01-17,2025,1,January,T1,17,Friday
20250118,2025-01-18,2025,1,January,T1,18,Saturday
20250119,2025-01-19,2025,1,January,T1,19,Sunday
20250120,2025-01-20,2025,1,January,T1,20,Monday
20250121,2025-01-21,2025,1,January,T1,21,Tuesday
20250122,2025-01-22,2025,1,January,T1,22,Wednesday
20250123,2025-01-23,2025,1,January,T1,23,Thursday
20250124,2025-01-24,2025,1,January,T1,24,Friday
20250125,2025-01-25,2025,1,January,T1,25,Saturday
20250126,2025-01-26,2025,1,January,T1,26,Sunday
20250127,2025-01-27,2025,1,January,T1,27,Monday
20250128,2025-01-28,2025,1,January,T1,28,Tuesday
20250129,2025-01-29,2025,1,January,T1,29,Wednesday
20250130,2025-01-30,2025,1,January,T1,30,Thursday
20250131,2025-01-31,2025,1,January,T1,31,Friday
20250201,2025-02-01,2025,2,February,T1,1,Saturday
20250202,2025-02-02,2025,2,February,T1,2,Sunday
20250203,2025-02-03,2025,2,February,T1,3,Monday
20250204,2025-02-04,2025,2,February,T1,4,Tuesday
20250205,2025-02-05,2025,2,February,T1,5,Wednesday
20250206,2025-02-06,2025,2,February,T1,6,Thursday
20250207,2025-02-07,2025,2,February,T1,7,Friday
20250208,2025-02-08,2025,2,February,T1,8,Saturday
20250209,2025-02-09,2025,2,February,T1,9,Sunday
20250210,2025-02-10,2025,2,February,T1,10,Monday
20250211,2025-02-11,2025,2,February,T1,11,Tuesday
20250212,2025-02-12,2025,2,February,T1,12,Wednesday
20250213,2025-02-13,2025,2,February,T1,13,Thursday
20250214,2025-02-14,2025,2,February,T1,14,Friday
20250215,2025-02-15,2025,2,February,T1,15,Saturday
20250216,2025-02-16,2025,2,February,T1,16,Sunday
20250217,2025-02-17,2025,2,February,T1,17,Monday
20250218,2025-02-18,2025,2,February,T1,18,Tuesday
20250219,2025-02-19,2025,2,February,T1,19,Wednesday
20250220,2025-02-20,2025,2,February,T1,20,Thursday
20250221,2025-02-21,2025,2,February,T1,21,Friday
20250222,2025-02-22,2025,2,February,T1,22,Saturday
20250223,2025-02-23,2025,2,February,T1,23,Sunday
20250224,2025-02-24,2025,2,February,T1,24,Monday
20250225,2025-02-25,2025,2,February,T1,25,Tuesday
20250226,2025-02-26,2025,2,February,T1,26,Wednesday
20250227,2025-02-27,2025,2,February,T1,27,Thursday
20250228,2025-02-28,2025,2,February,T1,28,Friday
20250301,2025-03-01,2025,3,March,T1,1,Saturday
20250302,2025-03-02,2025,3,March,T1,2,Sunday
20250303,2025-03-03,2025,3,March,T1,3,Monday
20250304,2025-03-04,2025,3,March,T1,4,Tuesday
20250305,2025-03-05,2025,3,March,T1,5,Wednesday
20250306,2025-03-06,2025,3,March,T1,6,Thursday
20250307,2025-03-07,2025,3,March,T1,7,Friday
20250308,2025-03-08,2025,3,March,T1,8,Saturday
20250309,2025-03-09,2025,3,March,T1,9,Sunday
20250310,2025-03-10,2025,3,March,T1,10,Monday
20250311,2025-03-11,2025,3,March,T1,11,Tuesday
20250312,2025-03-12,2025,3,March,T1,12,Wednesday
20250313,2025-03-13,2025,3,March,T1,13,Thursday
20250314,2025-03-14,2025,3,March,T1,14,Friday
20250315,2025-03-15,2025,3,March,T1,15,Saturday
20250316,2025-03-16,2025,3,March,T1,16,Sunday
20250317,2025-03-17,2025,3,March,T1,17,Monday
20250318,2025-03-18,2025,3,March,T1,18,Tuesday
20250319,2025-03-19,2025,3,March,T1,19,Wednesday
20250320,2025-03-20,2025,3,March,T1,20,Thursday
20250321,2025-03-21,2025,3,March,T1,21,Friday
20250322,2025-03-22,2025,3,March,T1,22,Saturday
20250323,2025-03-23,2025,3,March,T1,23,Sunday
20250324,2025-03-24,2025,3,March,T1,24,Monday
20250325,2025-03-25,2025,3,March,T1,25,Tuesday
20250326,2025-03-26,2025,3,March,T1,26,Wednesday
20250327,2025-03-27,2025,3,March,T1,27,Thursday
20250328,2025-03-28,2025,3,March,T1,28,Friday
20250329,2025-03-29,2025,3,March,T1,29,Saturday
20250330,2025-03-30,2025,3,March,T1,30,Sunday
20250331,2025-03-31,2025,3,March,T1,31,Monday
20250401,2025-04-01,2025,4,April,T2,1,Tuesday
20250402,2025-04-02,2025,4,April,T2,2,Wednesday
20250403,2025-04-03,2025,4,April,T2,3,Thursday
20250404,2025-04-04,2025,4,April,T2,4,Friday
20250405,2025-04-05,2025,4,April,T2,5,Saturday
20250406,2025-04-06,2025,4,April,T2,6,Sunday
20250407,2025-04-07,2025,4,April,T2,7,Monday
