Produit_ID,Produit,Categorie,Prix_Unitaire,Cout_Unitaire
PR001,Riz 25kg,Alimentaire,18000,14000
PR002,Farine 25kg,Alimentaire,15500,11800
PR003,Sucre 25kg,Alimentaire,17500,13200
PR004,Huile végétale 5L,Huile,7500,5600
PR005,Huile végétale 1L,Huile,1700,1250
PR006,Eau minérale 1.5L,Boissons,750,480
PR007,Jus de fruits 1L,Boissons,1800,1200
PR008,Savon de ménage,Hygiène,900,620
PR009,Détergent 1L,Hygiène,2200,1500
PR010,Lait en poudre 500g,Alimentaire,3200,2350
PR011,Pâtes alimentaires 500g,Alimentaire,1200,820
PR012,Café 250g,Boissons,2800,1950
PR013,Papier hygiénique,Maison,2500,1750
PR014,Lessive 500g,Hygiène,1500,980
PR015,Biscuit paquet,Alimentaire,1000,650
